Llave,Valor,Image Name
Debilitante,"Perder es lo que se refiere a veces como la desnutrición aguda. emaciación grave a veces también se conoce como la desnutrición aguda severa (SAM).

<b> MUAC y las puntuaciones z </b>
Compruebe medio-superior-brazo-circunferencia (MUAC) en todos los niños de 6 meses a 5 años. Es una forma rápida y fiable de detección de la categorización y perder la malnutrición.
Compruebe peso para la longitud / altura Z-Score (WFLZ) para todos los lactantes menores de 6 meses.

En la ingesta de estas mediciones deben ser resaltados en el color apropiado para llevar el resultado a la atención del proveedor.

WFLZ se puede utilizar en niños de todas las edades, se utiliza preferentemente en niños menores de 6 meses y los 5 años (debido a la evidencia de MUAC en este grupo es limitado).
Es otra forma de categorizar y la detección de perder. Utiliza las mediciones de longitud / altura y el peso para calcular la desviación estándar de peso para la longitud / altura de la media.

","wasting1, wasting2"
El Retraso Del Crecimiento,"El retraso del crecimiento es la forma más común de la desnutrición que vemos y que no es tan benigna que pueda parecer (ver complicaciones). El retraso del crecimiento se refiere a la desnutrición crónica / persistente.

Los niños menores de 2 años tienen la mayor capacidad de recuperación del crecimiento, retraso del crecimiento, pero todos los niños deben ser tratados por el retraso del crecimiento cuando se reconoce. El retraso del crecimiento es un complejo ciclo intergeneracional.

Longitud / talla para la edad Z-Score (LfAz) se debe utilizar para categorizar el retraso del crecimiento (altura alrededor o por debajo del 3er percentil).

Por favor, vea el diagrama y tabla anterior.","stunting_cycle, stunting_table"
De Bajo Peso,"WfAz debe ser utilizado para categorizar a los niños con bajo peso (peso alrededor o por debajo del 3er percentil).

Comprobar el peso para la edad z-score (WfAz) si no está seguro de la categorización del percentil (es decir, si el percentil está cerca del corte de ustedes puede comprobar el peso en el gráfico).",underweight_table
Obesidad,"La obesidad también es una forma de desnutrición. Es la segunda forma más común de malnutrición vemos después de retraso en el crecimiento. Estos pacientes carecen de micronutrientes, ya que no están comiendo una dieta equilibrada. Hay muchas consecuencias a largo plazo de la obesidad.

<b> Clasificación </b>
Peso gordo por Longitud / Altura (Wfl) z-score entre 2 y 3.

La obesidad Peso de Longitud / Altura (WFL) puntuación z 3 o más.",
3.2 Gestión,,
La Desnutrición Leve,"Estos pacientes deben ser examinados para condiciones médicas subyacentes. Si hay una probable causa subyacente que debe ser referidos al hospital con urgencia.

De lo contrario, se les debe dar el siguiente tratamiento en la clínica y revisados ​​próxima clínica o les pide que lleve al niño al más cercano Centro de Salud para el control de su peso en un mes si es apropiado.

<b> Albendazol </b>
Más de 6 meses y menos de 10 kg: 200 mg.
Más de 6 meses y más de 10 kg: 400 mg.
Una vez al día en los días 1 y 8.

<b> comprimidos multivitamínicos </b>
1 por día hasta el próximo clínica.

<b> suplementos de vitamina A </b>
(Menores de 8 kg: 100.000, 200.000 más de 8 kg) una vez al día en los días 1, 2 y 8 (no dan si el niño ha recibido en los últimos 4 meses).
Sólo dar si el padre tiene la tarjeta de vacunas del niño y la vitamina A no se ha dado.

<b> Si la diarrea </b>
Si la diarrea crónica o recurrente dar metronidazol 5 días para el tratamiento giardia.

<b> Vacunas </b>
Si el niño no está al día con sus vacunas, deben ser remitidos a la clínica más cercana para las vacunas apropiadas.

",
La Desnutrición Moderada,"Los niños con una causa médica subyacente probable, complicaciones médicas (infecciones / deshidratación severa / anemia severa) y niños que presentan una prueba de apetito, deben ser referidos al hospital con urgencia para la evaluación.

En los niños menores de 6 meses, la mayoría debe ser referido. Dar una buena consejería en lactancia materna.

Los niños con un apetito, que son 6 meses a 5 años de edad con un MUAC DE 115 - 125 o una puntuación z de -2 / -3 y que no tienen ningún signo de complicaciones médicas o una condición médica subyacente, deben estar dado el siguiente tratamiento en la clínica.

<b> Albendazol </b>
Más de 6 meses y menos de 10 kg: 200 mg.
Más de 6 meses y más de 10 kg: 400 mg.
Una vez al día en los días 1 y 8.

<b> comprimidos multivitamínicos </b>
1 por día hasta el próximo clínica.

<b> suplementos de vitamina A </b>
(Menores de 8 kg: 100.000, 200.000 más de 8 kg) una vez al día durante los días 1,2 y 8 (no se dé si el niño ha recibido en los últimos 4 meses).

<b> Si la diarrea actual o recurrente </b>
Más de 3 episodios en 6 meses
Dar metronidazol 5 días para el tratamiento de Giardia.
Dar sulfato de zinc 10 días.

<b> Vacunas </b>
Si el niño no está al día con sus vacunas, deben ser remitidos a la clínica más cercana para las vacunas apropiadas.

<b> Mannapack Rice </b>
Para moderada emaciación en uder niños de 5 años y severo retraso en el crecimiento en menos de 2 años de darle un suministro de arroz Mannapack según la tabla a continuación. Los padres deben ser informados para preparar el arroz durante el día por la mañana y dar al niño en 8 sesiones separadas.

(Mesa de arroz Mannapack)

Todos estos niños necesitan una revisión médica en 2-4 semanas.

Todos los padres necesitan ser aconsejados que si la condición del niño se deteriora (por ejemplo, diarrea, vómitos, fiebre, aumento del edema), o si el niño pierde el apetito, se deben tomar de inmediato al niño a un centro de salud más cercano.

Si no se mejoraba significativamente debería resultar en una referencia para el hospital o centro de realimentación más cercana en función de la presentación clínica.



",mannapack_rice_table
La Desnutrición Severa,"<b> emaciación grave </b>
Los bebés y los niños que son de 6-59 meses de edad y tiene una mitad de la circunferencia del brazo superior <115 mm, tienen una puntuación z de -3 o menos o que tienen algún grado de edema bilateral deberá ser sometida inmediatamente al hospital más cercano.

Estos niños requieren antibióticos de amplio espectro debido a inmunocomprometidos. La amoxicilina durante 5 días como por peso debe iniciarse antes del traslado al hospital.

rehidratación oral puede administrarse junto con sales de rehidratación oral si se presentan signos de deshidratación moderada / grave, el equilibrio de líquidos puede ser difícil en niños con desnutrición severa por lo que proceder con cautela para no sobrecarga de líquidos a reducir el reemplazo oral de hasta un 50% dependiendo de la condición del niño.

Nos referimos todos los casos, ya que no tenemos la infraestructura para dar el estrecho seguimiento requerido, hay buenos centros refeeding en la región (Nutre Hogar), a menudo no es apropiado para manejar estos casos en la comunidad sin el apoyo de la familia.

Puede ser muy difícil de tratar los casos en que la familia se niegan a llevar al niño al hospital a pesar de la desnutrición severa. Por lo general, esto se debe a la desconfianza de los servicios locales y el miedo de dejar la comunidad para una ciudad lejana.

Debe quedar claro que los médicos flotantes apoyarán la familia para viajar al hospital y, si es posible, asistir a un hospital con ellos para ayudarles a navegar el sistema de salud y si es necesario apoyar y abogar por ellos. Si a pesar de esto, se niegan a llevar al niño al hospital hay que notificar a las autoridades sanitarias con urgencia para que puedan evaluar el bienestar del niño.

<b> severo retraso en el crecimiento </b>
Tesis casos deben recibir asesoramiento, el tratamiento y el arroz (según la desnutrición moderada) y se hace referencia directamente a un pediatra para descartar una causa médica subyacente.

<b> Severe insuficiente </b>
Compruebe la FMH puntuación z. Es el niño con bajo peso debido a que se atrofian o desperdician o ambos? Si desperdicia graves que necesitan ser referidos inmediatamente. De lo contrario, puede ser apropiado para dar asesoramiento, tratamiento y arroz maná (según la desnutrición moderada) con un seguimiento de 1 mes con el Centro de Salud.",
Apoyo Social,"Pedir a la familia si están recibiendo Red de Opertundades y SENAPAN (cupones de alimentos).
Si hay una familia con niños con retraso del crecimiento o malnurished que no reciben ambos beneficios, usted debe tomar todos los detalles y discutir con los LMP flotante.
Vamos a establecer los contactos con los servicios sociales para que la familia recieves el apoyo que tienen derecho.",
$Dermatología,,
5.1 Infecciones De La Piel Parasitarias,,
5.1.1 La Sarna,,
Presentación,"Relativamente común en las comunidades que visitamos. Los síntomas más comunes de la sarna, picazón y una erupción de la piel, son causados ​​por la sensibilización (un tipo de reacción “alérgica”) a las proteínas y las heces del parásito.

picazón severa (prurito), especialmente por la noche, es el síntoma más precoz y más común de la sarna.

Un grano similar (pápulas) con picor (prurito) “sarna erupción” es también común. En este clima picor y erupción cutánea puede afectar a todo el cuerpo o estar limitado a los sitios comunes (entre los dedos, muñeca, el codo, la axila y el pene). [1]",
Causas,"La sarna es una erupción cutánea con picazón causada por el ácaro parásito <i> Sarcoptes scabiei </ i> [2].

Los factores de riesgo son el hacinamiento, la pobreza, el estado nutricional deficiente, la falta de higiene, niños, ancianos y personas inmunodeprimidas [3]. Las personas de edad avanzada, y inmunocomprometidos están en riesgo particular de la variante de costra (noruego sarna).

Ellos tienden a presentar con lesiones clínicamente atípicos y, a menudo son mal diagnosticados, causando un retraso en el tratamiento apropiado y un mayor riesgo de una epidemia local.

",
Evaluación,"El diagnóstico es principalmente clínico. Una lente de aumento puede ayudar en la identificación de madrigueras o incluso ocasionalmente ácaros [4]. En caso de duda el caso puede ser publicado con las imágenes en SERMO.

raspado de la piel puede ser tomado para la evaluación bajo el microscopio para el diagnóstico definitivo.",
Administración,"Tratar a toda la familia, cuando sea posible, lavar la ropa de cama, hamacas y ropa en agua muy caliente y dejar de probar la luz solar directa.

El jabón y el asesoramiento de una buena higiene.

El principal método de tratamiento para la sarna es por cualquiera de antihelmíntico oral (ivermectina), o la aplicación tópica de una preparación parasiticida (permetrina) durante la noche a todo el cuerpo de la cabeza a los pies.

¿Qué agente a utilizar depende del peso del paciente, si el paciente está embarazada o si el paciente está dando el pecho.

El tratamiento se debe repetir una semana más tarde. Si hay secundaria infección bacteriana está presente, este debe ser tratado primero con antibióticos durante 24-48 horas en el caso de permetrina para evitar la absorción sistémica.

<b> Bajo 15kg, embarazada / lactancia materna </b> *
crema de permetrina 5% **
-Aplicar al cuerpo en el día 1 y el día 8.
-Aplicar la noche
cara -Evitar.
-Mittens para evitar la ingestión en los lactantes.
-No aplicará a roto / piel inflamada.
infecciones bacterianas ♦ Tratar primero con para 24-48hrs.

No aplique después de un baño caliente; aumenta la absorción sistémica y elimina el fármaco a partir de su sitio de tratamiento.

* <I> La ivermectina contraindicado en los tres. </ I>
** <i> Los niños mayores de 2 meses. </ I>

<b> Más de 15 kg </b>
La ivermectina 200 mcg / kg una vez, el día 1 y el día 8.

<b> costra (Noruego) Sarna </b>
-Ivermectin 200 mcg / Kg (si es seguro) Y
-Permethrin crema al 5%.
-Los pacientes inmunocomprometidos a menudo.
-Considere desnutrición, VIH etc.

<I> pueden requerir dos o tres aplicaciones de permetrina en días consecutivos para asegurar que suficiente penetra en las zonas hiperqueratósicas matar a todos los ácaros. </ I>

[4,5]

",ivermectin_dosing_table
Complicaciones,"La infección bacteriana secundaria. La celulitis, impétigo y abscesos pueden ser el resultado, y la infección bacteriana de la piel pueden predisponer aún más a la infección invasiva y sepsis.

La sarna puede causar aleteo o reactivación de eczema o la psoriasis. Aquellos cuya inmunidad es altamente sensible puede presentar con dermatitis extensa o incluso eritrodermia.

La sarna tiene el estigma social y puede causar daños psicológicos con delirios persistentes de parasitosis, vergüenza o culpa. [4,5,6].",
Referencias,"[1] CDC-Centros para el Control y Prevención de Enfermedades. CDC - Sarna - enfermedad. (2010).
[2] La sarna | Doctor. Disponible en: https://patient.info/doctor/scabies-pro. (Consultado: el 22 de de septiembre de 2017).
[3] Engelman, D. et al. Hacia el control global de la sarna humana: la introducción de la Alianza Internacional para el Control de la sarna. PLoS NEGL. Trop. Dis. 7, e2167 (2013).
[4] La sarna | Doctor. Disponible en: https://patient.info/doctor/scabies-pro. (Consultado: el 22 de de septiembre de 2017).
[5] La sarna | Doctor. Disponible en: https://patient.info/doctor/scabies-pro. (Consultado: el 22 de de septiembre de 2017).
[6] La sarna | Doctor. Disponible en: https://patient.info/doctor/scabies-pro. (Consultado: el 22 de de septiembre de 2017).
",
5.1.2 Los Piojos,,
Administración,"<b> 15 kg y más de </b>
La ivermectina 200 mcg / kg día 1 y 7.
        
<b> En 15 kg, el embarazo, la lactancia materna </b>
Permetrina al 1%, días 1 y 8.
peines de piojos también pueden estar disponibles.

",ivermectin_dosing_table
5.1.3 Leishmaniasis Cutánea,,
Presentación,"Leishmaniasis es causada por un protozoo del género <i> Leishmania </ i> [1]. La presentación de la Leishmaniasis varía según la especie causante de la infección y de la región en el mundo donde una persona está infectada.

Hay 3 tipos principales de leishmaniasis [2,3]:
    - visceral (kala-azar).
    - cutánea.
    - mucocutánea.

Esta sección se centrará en Leishmaniasis cutánea ya que este es el tipo que está presente principalmente en Panamá [2].

Lesiones comienzan sobre todo en las regiones expuestas de la piel que son fácilmente mordido por los mosquitos. Las lesiones comienzan como manchas eritematosas que cambian a las placas y úlceras. A menos que haya una infección bacteriana secundaria, las lesiones son generalmente sin dolor. Muchos pacientes han limitado las lesiones cutáneas que la auto-curación dentro de 6-18 meses, dejando tejido cicatricial.

<I> Leishmania Viannia panamensis </ i> en una de las especies presentes en Panamá. Cualquier <i> Leishmania </ i> especies en el <i> Viannia </ i> subgénero puede causar mucocutánea Leishmaniasis (MCL). A veces esto ocurre años después de una infección cutánea inicial.

Afortunadamente, MCL no es común en la región, pero los pacientes que presentan síntomas de congestión nasal o superiores crónicas de las vías respiratorias puede de hecho tener MCL. Compruebe si hay lesiones del tabique nasal y / o hacer referencia a ENT.",
Causas,"'Casos dispersos de leishmaniasis cutánea y mucocutánea se producen en las zonas rurales en todo el país, pero la mayoría de los casos son reportados desde el oeste de Panamá (Bocas del Toro, Coclé, Colón, Chiriquí y Panamá Provincias) y de las zonas centro-oeste [4]. '

<I> L. (V) panamensis </ i> es responsable de la gran mayoría de los casos, sobre todo en las zonas boscosas de oeste a este, incluyendo Bocas del Toro [5].

El perezoso de dos dedos es el principal reservorio [5,6].",
Diagnóstico,"En los casos en que se sospeche la Leishmaniasis, consultar con un proveedor médico principal.

El diagnóstico y el tratamiento de la leishmaniasis se pueden proporcionar de forma gratuita a través de MINSA.

Para el diagnóstico de Leishmaniasis Cutánea, se requiere una prueba parasitológica [7].

El número de casos de diagnosticado Leishmaniasis Cutánea de 2009 está representado en el diagrama anterior [8]:",cutaneous_diagnosis
Administración,"<b> Considere el siguiente </b>
-Número.
-Talla.
-Evolución y la persistencia de las lesiones.
-Ubicación de las lesiones (por ejemplo, en la cara).
características -Otros es decir, linfangitis.

<b> tratamiento médico </b>
El tratamiento a menudo se produce en el más cercano Centro de Salud, basado en el diagnóstico clínico y por lo general sin la vigilancia de la función renal o hepática.

El tratamiento estándar en Panamá es de 20 días de IM de antimonio pentavalente, que puede causar reno-hepatotoxicidad.

Tratamos a las infecciones secundarias en pacientes de la clínica y de asesoramiento y apoyo para buscar tratamiento si hay una fuerte sospecha de leishmaniasis. Se aconseja que todos los casos de Leishmaniasis de una especie en el <i> Viannia </ i> subgénero debería recibir un tratamiento sistémico, debido al riesgo futuro de la conversión al MCL.

[9]",
Complicaciones,"La forma cutánea difiere de la variedad visceral y no transforma a Leishmaniasis Visceral (excepto en casos raros de inmunocompromiso en el VIH).

En ciertas regiones de América Central y América del Sur con la <i> Vianna </ i> subgénero, 5% de la forma cutánea pueden desarrollar en forma mucocutánea (a veces años después de la infección inicial), que afecta típicamente a la mucosa nasal y es destructiva en naturaleza.

Sin embargo, en nuestra región de Panamá esto parece ser muy raro, pero tenemos que estar atentos. [10].

Otras complicaciones potenciales de la Leishmaniasis Cutánea incluyen [10,11]:

El sangrado, infecciones debidas a la inmunodeficiencia y la desfiguración superpuesta.",
Referencias,"[1] La leishmaniosis | Doctor. Disponible en: https://patient.info/doctor/leishmaniasis. (Consultado: 23ro de octubre de 2017).
[2] OMS | La leishmaniasis. (2017).
[3] La leishmaniosis | Doctor. Disponible en: https://patient.info/doctor/leishmaniasis. (Consultado: 23ro de octubre de 2017).
[4] IAMAT | Panamá | La leishmaniasis. Disponible en: https://www.iamat.org/country/panama/risk/leishmaniasis. (Consultado: 23ro de octubre de 2017).
[5] [No title]. Disponible en: http://www.who.int/leishmaniasis/resources/PANAMA.pdf. (Consultado: 23ro de octubre de 2017).
[6] Herrer, A. & Christensen, H. A. Leishmania braziliensis en el perezoso de Panamá de dos dedos, Choloepus hoffmanni. A.m. J. Trop. Medicina. Hyg. 29, 1196-1200 (1980).
[7] La ​​leishmaniosis | Doctor. Disponible en: https://patient.info/doctor/leishmaniasis. (Consultado: 23ro de octubre de 2017).
[8] [No title]. Disponible en: http://www.who.int/leishmaniasis/resources/PANAMA.pdf. (Consultado: 23ro de octubre de 2017).
[9] La leishmaniasis cutánea: Tratamiento. Disponible en: https://www.uptodate.com/contents/cutaneous-leishmaniasis-treatment. (Consultado: 24ta de octubre de 2017).
[10] [No title]. Disponible en: http://www.who.int/leishmaniasis/resources/PANAMA.pdf. (Consultado: 23ro de octubre de 2017).
[11] Leishmaniasis: causas, diagnóstico y tratamiento. Healthline (2017). Disponible en: https://www.healthline.com/health/leishmaniasis. (Consultado: 23ro de octubre de 2017).
",
,,
5.2 La Infección Bacteriana,,
3.2.1 La Celulitis,,
Presentación,"“La celulitis aparece como un área inflamada, roja de la piel que se siente caliente y sensible. Se puede propagar rápidamente a otras partes del cuerpo.

La celulitis no suele transmitirse de persona a persona.

Piel de las piernas más bajas es más comúnmente afectados, aunque la celulitis puede ocurrir en cualquier parte de su cuerpo o de la cara “. [1]",
Causas,"“Los organismos causantes más comunes son Streptococcus o Staphylococcus spp. pero pueden ser causados ​​por una amplia gama de bacterias aerobias y anaerobias “. [2]

Las infecciones pueden producirse después de lesiones (pequeñas o grandes) o sin una causa clara.",
Evaluación,"Las complicaciones son poco frecuentes, pero pueden incluir: abscesos, gangrena, tromboflebitis / linfangitis, edema de la pierna crónica (una complicación tardía que puede predisponer a más episodios de infección).

Las complicaciones menos comunes (que se producen en menos de 1%) incluyen: fascitis necrotizante, osteomielitis, síndrome compartimental, glomerulonefritis aguda, endocarditis, septicemia, síndrome de choque tóxico por estreptococos.

<I> En absceso de la piel, véase la sección separada. </ I>

[5,6]",
Administración,"Las medidas generales incluyen reposo, elevación de las extremidades afectadas, y la analgesia. [4]

<b> Niños menores de 25 kg </b> *
1ª línea:
Bajo 25kg: Amoxicilina 10-14 días.
1-4 años 250 mg día 3x.
5-11 años 500 mg día 3x.

2ª línea:
Bajo 25kg: Azitromicina 5 días.
10 mg / kg una vez al día (500 mg por dosis max).

<b> Más de 25 kg y adultos </b> *
Primera linea:
Cloxacilina 10-14 días.
500 mg 4 veces / día, de 10-14 días.

Segunda linea:
Clindamicina 150-300 mg 4x / día, de 10-14 días.

* <I> Si es grave o no mejora después de 48-72 horas, a continuación, añadir en segunda línea. </ I>
",
Complicaciones,"Las complicaciones son poco frecuentes, pero pueden incluir: abscesos, gangrena, tromboflebitis / linfangitis, edema de la pierna crónica (una complicación tardía que puede predisponer a más episodios de infección).

Las complicaciones menos comunes (que se producen en menos de 1%) incluyen: fascitis necrotizante, osteomielitis, síndrome compartimental, glomerulonefritis aguda, endocarditis, septicemia, síndrome de choque tóxico por estreptococos.

[5,6]",
Referencias,"[1] La celulitis: infección superficial de la piel puede ir de las manos. Clínica Mayo (2015). Disponible en: http://www.mayoclinic.org/diseases-conditions/cellulitis/basics/definition/con-20023471. (Consultado: 29no de septiembre de 2017).
[2] La celulitis y la erisipela información. Paciente. Disponible en: https://patient.info/doctor/cellulitis-and-erysipelas-pro. (Consultado: 29no de septiembre de 2017).
[3] La celulitis y la erisipela información. Paciente. Disponible en: https://patient.info/doctor/cellulitis-and-erysipelas-pro. (Consultado: 29no de septiembre de 2017).
[4] Phoenix, G., Das, S. & Joshi, M. Diagnóstico y tratamiento de la celulitis. BMJ 345, e4955-e4955 (2012).
[5] La celulitis y la erisipela información. Paciente. Disponible en: https://patient.info/doctor/cellulitis-and-erysipelas-pro. (Consultado: 29no de septiembre de 2017).
[6] Comité Mixto de la Farmacopea. BNF 73 (GPT) de marzo de 2017. (2017).
",
5.2.2 La Foliculitis,,
Presentación,"“Foliculitis es una condición común de la piel en la que los folículos pilosos se inflaman. Por lo general es causada por una infección bacteriana o micótica.

Al principio puede parecer pequeñas protuberancias rojas o granitos de color blanco alrededor de los folículos pilosos; los pequeños bolsillos de la que crece cada pelo.

La infección puede extenderse y convertirse en no curativo, úlceras con costras.

La condición no es peligrosa para la vida, pero puede causar picazón, dolor y embarazoso. Las infecciones graves pueden causar la pérdida de cabello permanente “. [1]",
Causas,"“Folículos dañados están en riesgo de infección. Las causas más comunes de daño del folículo son:

-Friction de afeitar o ropa ajustada.
sudor -El calor y, (guantes de goma / waders).
condiciones -skin, tales como dermatitis y acné.
-Injuries, tales como rasguños o heridas quirúrgicas.
-Coverings: Vendajes de plástico, cinta adhesiva”

[2]",
Evaluación,El diagnóstico se basa en los resultados de la historia y examen.,
Administración,"<b> Medidas Generales </b>
Evitar factores tales como ropa inadecuada precipitante.

Utilizar los implementos de aseo por separado y toallas de otros miembros de la familia.

<b> El tratamiento farmacológico </b>
Leves, foliculitis superficiales pueden resolver con medidas de higiene y sin tratamiento médico.

Tratar la foliculitis más profundas como por la celulitis.

[2, 3]",
Referencias,"[1] foliculitis. Clínica Mayo (2014). Disponible en: http://www.mayoclinic.org/diseases-conditions/folliculitis/basics/definition/con-20025909. (Consultado: 29no de septiembre de 2017).
[2] La foliculitis causas. Clínica Mayo (2014). Disponible en: http://www.mayoclinic.org/diseases-conditions/folliculitis/basics/definition/con-20025909. (Consultado: 29no de septiembre de 2017).
[3] La foliculitis. La inflamación de los folículos pilosos. Paciente. Disponible en: https://patient.info/doctor/folliculitis-pro. (Consultado: 29no de septiembre de 2017).
",
5.2.3 El Impétigo,,
Presentación,"El impétigo es una infección superficial muy común de la piel. Se puede dividir en formas no ampollosas y ampollosas. Los tipos no ampollosas representan la mayoría de los casos.

impétigo no bulloso comienza como pequeñas pústulas o vesículas que evolucionan rápidamente en placas con costra que tienden a ser de 2 cm de diámetro.

Por lo general comienza en la cara o en las extremidades donde se han producido mordeduras, rasguños, quemaduras o traumatismos.

Se propaga rápidamente. Poco o nada de eritema o edema circundante. Los ganglios linfáticos regionales a menudo se agrandan.

impétigo bulloso tiene un techo fina y tienden a romperse de manera espontánea. Son por lo general en las regiones de la cara, tronco, extremidades, nalgas, o perineales. Más probable que ocurra en la parte superior de otra enfermedad como el eczema atópico. [1]",
Causas,"<b> Impétigo </b>
En el Reino Unido Staphylococcus aureus es el microorganismo más común, Streptococcus pyogenes es el otro patógeno involucrado, y en ocasiones ambos organismos pueden encontrarse juntos. En climas más cálidos Streptococcus pyogenes es más prevalente.

<b> impétigo bulloso </b>
Es casi siempre causada por Staphylococcus aureus.

[2]",
Evaluación,El diagnóstico se basa en los resultados de la historia y examen clínico.,
Administración,"<b> Consejo general </b> [3,4,5,6]
“Asesorar buenas medidas de higiene para evitar la propagación:

-Mantenga la zona (s) afectada limpia y seca,
-Lavarse las manos después de tocar la zona afectada (s),
-Evitar el intercambio de toallas y agua del baño,
-Evitar rascar el área afectada,
-Mantenga las uñas cortas y limpias “.
-Mittens para arañar los niños.

<b> impétigo localizada </b>
-Jabon y agua dos veces al día.
-Triple antibiótico crema 3x / día; 3-5 días.

* <I> Bacitracin o ácido fusídico debe ser usado en bebés como está contraindicado neomicina. </ I>

<b> Complicated / generalizada / Severe Impétigo </b>

<b> 25 kg y más de </b>
1ª línea:
Cloxacilina 500 mg 4 veces / día, 5-7 días.

<b> Bajo 25 kg </b>
1ª línea:
La amoxicilina 5-7 días.
1-4 años 250 mg 3 veces / día.
5-11 años 500 mg 3 veces / día.

* <I> Revista 48-72 horas, si no mejora añadir en segunda línea si es muy grave. </ I>

<b> segunda línea (todos los pacientes) </b>
Azitromicina 3 días.
Más de 6 meses: 10 mg / kg una vez al día.
(Max / adulto dosis de 500 mg una vez al día).


",
Complicaciones,"La celulitis, linfangitis, linfadenitis, y el síndrome de la piel escaldada por estafilococos pueden ocurrir de vez en cuando. [7]",
Referencias,"[1] El impétigo | Doctor. Disponible en: https://patient.info/doctor/impetigo-pro. (Consultado: 29no de septiembre de 2017)
[2] El impétigo. Disponible en: http://www.pcds.org.uk/clinical-guidance/impetigo. (Consultado: 29no de septiembre de 2017)
[3] El impétigo | Doctor. Disponible en: https://patient.info/doctor/impetigo-pro. (Consultado: 29no de septiembre de 2017)
[4] Apéndice 2 Orientaciones sobre el control de infecciones en la escuela y otros entornos de cuidado infantil. en el Manual de infecciones de la infancia (2011).
[5] Koning, S. et al. Intervenciones para el impétigo. Cochrane Database Syst. Rev. 1, CD003261 (2012).
[6] El impétigo | Doctor. Disponible en: https://patient.info/doctor/impetigo-pro. (Consultado: 29no de septiembre de 2017)
[7] El impétigo | Doctor. Disponible en: https://patient.info/doctor/impetigo-pro. (Consultado: 29no de septiembre de 2017)
",
Absceso 5.2.4 Piel,,
Administración,"Incisión y drenaje *
         <I> y </ i>
Los antibióticos orales.

* <I> En la mayor brevedad posible día de la clínica para asegurar el seguimiento. </ I>

<b> Los niños> 25 kg y adultos </b>:
Clindamicina 4x / día 150 mg-300 mg; 5-7 días.

<b> niños menores de 25 kg </b>
La amoxicilina 5-7 días.
1-4 años 250 mg 3 veces al día,
5-11 años 500 mg 3 veces al día.",
5.3 Las Infecciones Fúngicas De La Piel,,
5.3.1 Los Dermatofitos,,
Presentación,"infecciones “dermatofitosis (tiña) son infecciones fúngicas causadas por dermatofitos. Ellos tienden a crecer hacia el exterior sobre la piel, produciendo un patrón de anillo - de ahí el término 'tiña'. Son muy comunes aquí en Panamá y afectan a diferentes partes del cuerpo.”

Según el sitio:
    - Cuero - tiña de la cabeza.
    - Pies - tinea pedis.
    - Manos - tinea manuum.
    - tiña ungueal (u onicomicosis) - Nail.
    - zona de la barba - tinea la barba.
    - Ingle - tinea cruris.
    - Cuerpo / trunk / brazos - tinea corporis.

[1]
",
Causas,"La infección se limita a las capas muertas de la piel, pero animado por un entorno local húmedo y caliente como ella en Panamá. La infección también puede transmitirse entre las personas, del suelo y de los animales. [2]",
Diagnóstico Diferencial,"Eccema y la psoriasis se confunden comúnmente con tinea.

La pitiriasis versicolor se produce sobre el tronco y Candida se produce en las superficies de flexión en los extremos de edad, en los pacientes inmunodeprimidos, aquellos con diabetes o pacientes en los antibióticos.

En caso de duda, tomar una foto (con el consentimiento del paciente) y publicar el caso en SERMO. Esto abre la situación clínica a un número de especialistas. [3,4]
",
Administración,"<b> Tinea corporis </b>
1ª línea:
-Clotrimazole 1% en crema 2-3 veces al día.
Continúe durante 1-2 semanas después de la resolución.

* <I> segunda línea en la próxima clínica si el fracaso del tratamiento. </ I>

2ª línea:
-Griseofulvin 4-6 semanas.
12 años -Bajo: 10 mg / kg (máximo 500 mg) 1x / día.
12 años -más y Adultos: 1x 500 mg / día.

<b> Tinea Capitis </b>
cabeza -Shave si es apropiado.
-Limpie con agua y jabón dos veces al día.
-Examine familia: la tiña es contagiosa.
-Clotrimazole 1% en crema 2-3x / día y
-Griseofulvin 4-6 semanas (dosis como anteriormente).

<b> Tinea Pedis </b>
-Mantenga los pies limpios y secos tanto como sea posible.
-Después de cada uso de botas, de ser utiliza-
-Si grave:
Clotrimazol crema al 1% 2x / día: 4-6 semanas.

[5,6,7,8]
",
Complicaciones,"La principal complicación es la infección bacteriana secundaria.

La pérdida de cabello es una complicación de la tinea capitis.

tiña de la cabeza puede convertirse en kerion (BOGGY infección más profunda del cuero cabelludo). [9]",
